StructureID,StructureName,Longitude,Latitude
ANN163,Eight Mile Brook Bridge,-65.382898,44.708191
ANN165,Beeler Mill Creek Bridge,-65.234841,44.748127
ANN166,Milbury Bridge,-65.192802,44.755895
ANN167,Durling Mill Bridge,-65.143348,44.704956
ANN169,Veinot Bridge,-65.041897,44.748178
ANN170,Waterloo Bridge,-64.973186,44.713251
ANN171,Ten Mile River Bridge,-65.382075,44.654754
ANN172,McLellan Lake Bridge,-65.398159,44.571549
ANN173,Pike Lake Bridge,-65.387007,44.561563
ANN174,Lake Monroe Bridge,-65.349092,44.531655
ANN175,Thibeau Bog Bridge,-65.286581,44.516589
ANN177,Minard Lake Inlet Bridge,-65.171089,44.436331
ANN180,Beaver Brook Bridge,-65.496545,44.564619
ANN181,East Moose River Bridge,-65.543192,44.640264
ANN182,Saunders Brook Bridge,-65.508606,44.678962
ANN183,Deep Brook West  Bridge,-65.627709,44.627893
ANN184,Allain Creek Crossing Bridge,-65.49483,44.692001
ANN185,Dodge Road U/P Bridge on 101,-65.004563,44.972625
ANN186,Stronach Mtn Rd U/P Bridge on 101,-64.980072,44.979023
ANN187,Brooklyn Street U/P Bridge on 101,-65.09117,44.949451
ANN188,Annapolis River Bridge,-65.265843,44.844177
ANN189,Waldec Line Rd O/P Bridge on 101,-65.633359,44.628308
ANN190,Clementsport Rd U/P Bridge on 101,-65.565638,44.633379
ANN191,Victoria Road U/P Bridge on 101,-65.055331,44.963049
ANN192,Elliott Road O/P Bridge on 101,-65.17324,44.901651
ANN193,Gates MTN Rd U/P Bridge on 101,-65.078378,44.959109
ANN194,Allain Creek Canal Bridge,-65.498743,44.689744
ANN195,Purdy Road O/P Bridge on 101,-65.65165,44.628316
ANN196,Mary Jane Riley U/P Bridge on 101,-65.61126,44.626845
ANN197,Shaw Road O/P Bridge on 101,-65.578576,44.631507
ANN198,Powerlot Road U/P Bridge on 101,-65.547711,44.638445
ANN199,Clementsvale Road O/P Bridge on 101,-65.51637,44.664453
ANN200,Mt. Hanley Rd O/P Bridge on 101,-65.131149,44.920302
ANN201,Leonard Road O/P Bridge on 101,-65.210422,44.884677
ANN202,Messenger Road O/P Bridge on 101,-65.245498,44.873628
ANN203,Trunk #1 O/P Bridge on 101,-65.268664,44.847127
ANN204,Route 201 O/P Bridge on 101,-65.263819,44.841902
ANN205,Morse Road U/P Bridge on 101,-65.286519,44.825404
ANN206,Bear River East O/P Bridge on 101,-65.674393,44.623651
ANN207,DAR O/P Bridge on 101,-65.267376,44.845757
ANN208,Springfield Bridge,-64.860209,44.631007
ANN209,Bank Bridge,-65.638875,44.576237
ANN210,Troop Bridge,-65.500709,44.762957
ANN211,Walker Brook Bridge,-65.356901,44.816551
ANN212,Bridgetown West Interchange  Bridge,-65.297785,44.820781
ANN213,West Dalhousie O/P Bridge,-65.466409,44.715688
ANN214,Lequille O/P  Interchange Bridge,-65.486221,44.701123
ANN215,Evans Brook West Bridge,-65.420273,44.733935
ANN216,Spurr Road U/P Bridge,-65.38495,44.744037
ANN217,Evans Brook East Bridge,-65.406971,44.738599
ANN218,Outlet Bridge,-64.87139,44.605902
ANN219,Mason Brook Bridge,-64.831353,44.633662
ANN220,Campbell Bridge,-64.859891,44.692703
ANN221,Crossburn Brook Bridge,-64.823032,44.743624
ANN222,Hampton Wharf Bridge,-65.349419,44.906482
ANN223,Dave Sabean's Bridge,-65.268716,44.946533
ANN224,Port Lorne Wharf Bridge,-65.264996,44.947993
ANN225,Corbett Bridge,-65.264455,44.947673
ANN226,Schoolhouse #1 Bridge,-65.257473,44.940956
ANN227,Clay Hill Bridge,-65.222029,44.955095
ANN228,Healy Bridge,-65.213283,44.965561
ANN229,Hayes Bridge,-65.182519,44.990851
ANN230,Hines Bridge,-65.183117,44.990207
ANN231,Elliott Bridge,-65.155571,44.998822
ANN232,Neaves Hollow Bridge,-65.246268,44.769262
ANN233,Saunders Road Muliplate Bridge,-65.267805,44.866568
ANN234,Phelans Farm Xing M/P Bridge,-65.251743,44.871667
ANN235,Balcom Road Multiplate Bridge,-65.231236,44.87813
ANN236,Beals Farm Xing   M/P Bridge,-65.189106,44.893941
ANN237,Fitch Road Multiplate Bridge,-65.157106,44.90845
ANN238,Durling Bridge,-65.155007,44.898615
ANN239,McEwan Brook Bridge,-65.132564,44.919591
ANN240,Schoolhouse #2 Bridge,-65.148124,44.937684
ANN241,Slokum Bridge,-65.147586,44.936431
ANN242,Hall Bridge,-65.142982,44.884568
ANN243,Franks #2 Bridge,-65.146927,44.881915
ANN244,John Banks Bridge,-65.134031,44.851967
ANN245,Morse Bridge,-65.09463,44.947859
ANN246,Fred Baker Bridge,-65.001665,44.993078
ANN247,Hebb Farm Crossing Bridge,-65.063002,44.962005
ANN248,Morton Brook Multiplate Bridge,-65.056651,44.962865
ANN249,Ruggles Road Multiplate Bridge,-65.037093,44.965818
ANN250,Pheasant Preserve Multiplate Bridge,-65.024778,44.945131
ANN251,Canal Bridge,-65.031172,44.887271
ANN252,Alpena Bridge,-65.065228,44.853353
ANN253,Trout Lake #1 Bridge,-65.075416,44.789321
ANN254,Stanley Gates Bridge,-64.991785,44.990865
ANN255,Spurr Bridge,-64.994994,44.978967
ANN256,Vault Road Multiplate Bridge,-64.991075,44.975612
ANN257,Spinney Lower Bridge,-64.952176,44.927682
ANN258,Newcombe Bridge,-64.977221,44.876044
ANN259,Peter Morse Bridge,-64.971139,44.834531
ANN260,Canal Service Road Bridge,-65.50217,44.687748
ANN261,Kelly Lake Bridge,-65.016207,44.678471
ANN262,Big River Bridge,-65.018841,44.670411
ANN263,Wildcat #2 Bridge,-65.014171,44.614285
ANN264,Bogart Bridge,-65.690775,44.729943
ANN267,Purdy Service Road Multiplate Bridge,-65.663504,44.62737
ANN268,Lent Multiplate Bridge,-65.61574,44.626954
ANN269,Fraser Road Multiplate Bridge,-65.53337,44.645837
ANN270,Moose River #1 Bridge,-65.543662,44.599301
ANN272,Wilkins Bridge,-65.052372,45.019697
ANN273,Bloody Creek Bridge,-65.304898,44.817864
ANN274,Margaret Rafuse Bridge,-65.162093,45.002145
ANN275,Falls Bridge,-65.03173,45.010712
ANN276,Earl Palmer Bridge,-65.014807,45.00551
ANN277,Robar Meadow Bridge,-64.970257,44.591714
ANN278,Allen Meadow Bridge,-64.952565,44.602463
ANN279,Trout Lake #2 Bridge,-65.079787,44.787659
ANN280,Button Brook Multiplate Bridge,-65.265792,44.832285
ANN281,Francis Farm Crossing Bridge,-65.272836,44.829439
ANN282,Moore Multiplate Bridge,-65.314353,44.813977
ANN283,Newton - Mersey Multiplate Bridge,-65.3248,44.806466
ANN284,Hooper Brook Multiplate Bridge,-65.328194,44.801972
ANN285,Wallace Bruce #2 Bridge,-65.330895,44.798406
